chr,start,end,testSample1
1,0,29999,0.172159873
1,30000,59999,-0.060019255
1,60000,89999,-0.043318809
1,90000,119999,-0.169782287
1,120000,149999,0.214919171
1,150000,179999,-0.147794865
1,210000,239999,0.130394877
1,240000,269999,0.054329319
1,360000,389999,0.412780462
1,390000,419999,0.761269821
1,420000,449999,-0.063453717
1,450000,479999,0.258490419
1,510000,539999,0.160044381
1,570000,599999,-0.057843079
1,600000,629999,-0.12346959
1,630000,659999,-0.028894065
1,660000,689999,0.136009311
1,690000,719999,0.086528268
1,720000,749999,0.044458076
1,750000,779999,0.168177619
1,780000,809999,0.146713598
1,810000,839999,0.112212818
1,840000,869999,0.22031106
1,870000,899999,0.176802718
1,900000,929999,0.229013589
1,930000,959999,0.234660512
1,960000,989999,0.237835226
1,990000,1019999,0.184085086
1,1020000,1049999,0.19879272
1,1050000,1079999,0.246151849
1,1080000,1109999,0.20099958
1,1110000,1139999,0.21807311
1,1140000,1169999,0.225752462
1,1170000,1199999,0.274005974
1,1200000,1229999,0.264670841
1,1230000,1259999,0.282255046
1,1260000,1289999,0.256117888
1,1290000,1319999,0.236155932
1,1320000,1349999,0.267990326
1,1350000,1379999,0.25697352
1,1380000,1409999,0.255505652
1,1410000,1439999,0.226841795
1,1440000,1469999,0.260672764
1,1470000,1499999,0.24442207
1,1500000,1529999,0.294872775
1,1530000,1559999,0.2856249
1,1560000,1589999,0.247966954
1,1590000,1619999,0.230690639
1,1620000,1649999,0.254370209
1,1650000,1679999,0.250024741
1,1680000,1709999,0.27346459
1,1710000,1739999,0.233880838
1,1740000,1769999,0.239042753
1,1770000,1799999,0.206159191
1,1800000,1829999,0.238382103
1,1830000,1859999,0.223165813
1,1860000,1889999,0.230354277
1,1890000,1919999,0.238783595
1,1920000,1949999,0.269733246
1,1950000,1979999,0.287485508
1,1980000,2009999,0.246531833
1,2010000,2039999,0.247509772
1,2040000,2069999,0.238053245
1,2070000,2099999,0.247902171
1,2100000,2129999,0.268514143
1,2130000,2159999,0.248385298
1,2160000,2189999,0.251821402
1,2190000,2219999,0.277357234
1,2220000,2249999,0.264280823
1,2250000,2279999,0.239291949
1,2280000,2309999,0.232072819
1,2310000,2339999,0.226570492
1,2340000,2369999,0.262522769
1,2370000,2399999,0.252874701
1,2400000,2429999,0.269817729
1,2430000,2459999,0.256534662
1,2460000,2489999,0.262593025
1,2490000,2519999,0.257681601
1,2520000,2549999,0.190012419
1,2550000,2579999,0.185751405
1,2580000,2609999,0.265556214
1,2610000,2639999,0.262491688
1,2670000,2699999,0.134252588
1,2700000,2729999,0.170590202
1,2730000,2759999,0.174065833
1,2760000,2789999,0.205179853
1,2790000,2819999,0.194456606
1,2820000,2849999,0.228758744
1,2850000,2879999,0.172288558
1,2880000,2909999,0.193873673
1,2910000,2939999,0.163872339
1,2940000,2969999,0.174406516
1,2970000,2999999,0.188889996
1,3000000,3029999,0.252515379
1,3030000,3059999,0.194742501
1,3060000,3089999,0.218055558
1,3090000,3119999,0.219518147
1,3120000,3149999,0.20443141
1,3150000,3179999,0.214701661
1,3180000,3209999,0.204705618
1,3210000,3239999,0.223875684
1,3240000,3269999,0.224173635
1,3270000,3299999,0.201580776
1,3300000,3329999,0.215979816
1,3330000,3359999,0.247855861
1,3360000,3389999,0.20480198
1,3390000,3419999,0.209448853
1,3420000,3449999,0.254341334
1,3450000,3479999,0.225199754
1,3480000,3509999,0.280279813
1,3510000,3539999,0.266153375
1,3540000,3569999,0.189948395
1,3570000,3599999,0.222604317
1,3600000,3629999,0.209276494
1,3630000,3659999,0.230850172
1,3660000,3689999,0.200648055
1,3690000,3719999,0.247832083
1,3720000,3749999,0.190768592
1,3750000,3779999,0.200874749
1,3780000,3809999,0.21195747
1,3810000,3839999,0.230267353
1,3840000,3869999,0.18775606
1,3990000,4019999,0.18665941
1,4020000,4049999,0.155436727
1,4050000,4079999,0.178617523
1,4080000,4109999,0.140348454
1,4110000,4139999,0.223789435
1,4140000,4169999,0.194223198
1,4170000,4199999,0.185586179
1,4200000,4229999,0.167630996
1,4230000,4259999,0.058354642
1,4260000,4289999,0.128886086
1,4290000,4319999,-0.057849228
1,4320000,4349999,0.038343794
1,4350000,4379999,0.128283007
1,4380000,4409999,0.141283566
1,4410000,4439999,0.130614863
1,4440000,4469999,0.128752768
1,4470000,4499999,0.107372636
1,4500000,4529999,0.136812345
1,4530000,4559999,0.124358007
1,4560000,4589999,0.135266546
1,4590000,4619999,0.041251715
1,4620000,4649999,0.049963384
1,4650000,4679999,0.149058851
1,4680000,4709999,0.179424298
1,4710000,4739999,0.11905385
1,4740000,4769999,0.183500776
1,4770000,4799999,0.19117983
1,4800000,4829999,0.160095286
1,4830000,4859999,0.130202888
1,4860000,4889999,-0.010416908
1,4890000,4919999,0.072745382
1,4920000,4949999,0.072135937
1,4950000,4979999,0.108027589
1,4980000,5009999,0.097768622
1,5010000,5039999,0.109675635
1,5040000,5069999,0.037833648
1,5070000,5099999,-0.039981361
1,5100000,5129999,-0.203100268
1,5130000,5159999,0.014307484
1,5160000,5189999,0.000326747
1,5190000,5219999,0.083148823
1,5220000,5249999,0.031758424
1,5250000,5279999,0.005364523
1,5280000,5309999,0.058860014
1,5310000,5339999,0.153033425
1,5340000,5369999,0.145605849
1,5370000,5399999,0.05324386
1,5400000,5429999,0.028995732
1,5430000,5459999,0.116751598
1,5460000,5489999,0.185246859
1,5490000,5519999,0.100275795
1,5520000,5549999,0.15881996
1,5550000,5579999,0.174413716
1,5580000,5609999,0.032409933
1,5610000,5639999,0.082423527
1,5640000,5669999,0.031156946
1,5670000,5699999,0.081399245
1,5700000,5729999,0.168953032
1,5730000,5759999,0.132444919
1,5760000,5789999,0.174772624
1,5790000,5819999,0.180976377
1,5820000,5849999,0.184497458
1,5850000,5879999,0.175453318
1,5880000,5909999,0.232266788
1,5910000,5939999,0.218858464
1,5940000,5969999,0.204170193
1,5970000,5999999,0.155190993
1,6000000,6029999,0.203217295
1,6030000,6059999,0.23850118
1,6060000,6089999,0.221074076
1,6090000,6119999,0.243186986
1,6120000,6149999,0.210997306
1,6150000,6179999,0.199407018
1,6180000,6209999,0.231654307
1,6210000,6239999,0.220119979
1,6240000,6269999,0.201945064
1,6270000,6299999,0.247608598
1,6300000,6329999,0.261916256
1,6330000,6359999,0.209412953
1,6360000,6389999,0.201335265
1,6390000,6419999,0.231969652
1,6420000,6449999,0.210419521
1,6450000,6479999,0.229207561
1,6480000,6509999,0.248981703
1,6510000,6539999,0.225608504
1,6540000,6569999,0.25252387
1,6570000,6599999,0.19579287
1,6600000,6629999,0.202925922
1,6630000,6659999,0.250562567
1,6660000,6689999,0.232363597
1,6690000,6719999,0.244955468
1,6720000,6749999,0.157899213
1,6750000,6779999,0.172388772
1,6780000,6809999,0.220061504
1,6810000,6839999,0.177528554
1,6840000,6869999,0.18679986
1,6870000,6899999,0.091323221
1,6900000,6929999,0.102408334
1,6930000,6959999,0.115395705
1,6960000,6989999,0.17491923
1,6990000,7019999,0.170739671
1,7020000,7049999,0.174741578
1,7050000,7079999,0.154219435
1,7080000,7109999,0.144223411
1,7110000,7139999,0.162654646
1,7140000,7169999,0.15763448
1,7170000,7199999,0.177469762
1,7200000,7229999,0.143434937
1,7230000,7259999,0.092996457
1,7260000,7289999,0.111597121
1,7290000,7319999,0.176719217
1,7320000,7349999,0.082258614
1,7350000,7379999,0.121391928
1,7380000,7409999,0.173578062
1,7410000,7439999,0.154245427
1,7440000,7469999,0.166443904
1,7470000,7499999,0.228673864
1,7500000,7529999,0.193663658
1,7530000,7559999,0.223769553
1,7560000,7589999,0.214843183
1,7590000,7619999,0.185660982
1,7620000,7649999,0.177464863
1,7650000,7679999,0.188036821
1,7680000,7709999,0.238474354
1,7710000,7739999,0.247986606
1,7740000,7769999,0.221376517
1,7770000,7799999,0.146621435
1,7800000,7829999,0.159360335
1,7830000,7859999,0.144593913
1,7860000,7889999,0.07527825
1,7890000,7919999,0.125941515
1,7920000,7949999,0.158181978
1,7950000,7979999,0.182119176
1,7980000,8009999,0.181935285
1,8010000,8039999,0.22901586
1,8040000,8069999,0.215110505
1,8070000,8099999,0.134935794
1,8100000,8129999,0.188747049
1,8130000,8159999,0.207900523
1,8160000,8189999,0.230568981
1,8190000,8219999,0.226124341
1,8220000,8249999,0.216587383
1,8250000,8279999,0.270499871
1,8280000,8309999,0.210383294
1,8310000,8339999,0.192445321
1,8340000,8369999,0.205348705
1,8370000,8399999,0.207624099
1,8400000,8429999,0.243676099
1,8430000,8459999,0.183841827
1,8460000,8489999,0.172209909
1,8490000,8519999,0.181916436
1,8520000,8549999,0.158892668
1,8550000,8579999,0.193588488
1,8580000,8609999,0.115354594
1,8610000,8639999,0.155334506
1,8640000,8669999,0.133217434
1,8670000,8699999,0.090940253
1,8700000,8729999,0.124706753
1,8730000,8759999,0.127026582
1,8760000,8789999,0.203291242
1,8790000,8819999,0.121509
1,8820000,8849999,0.17057733
1,8850000,8879999,0.154345282
1,8880000,8909999,0.239446624
1,8910000,8939999,0.265802526
1,8940000,8969999,0.247871884
1,8970000,8999999,0.20591119
1,9000000,9029999,0.235553688
1,9030000,9059999,0.211473273
1,9060000,9089999,0.245631005
1,9090000,9119999,0.21595105
1,9120000,9149999,0.258247134
1,9150000,9179999,0.208270314
1,9180000,9209999,0.224554886
1,9210000,9239999,0.244909753
1,9240000,9269999,0.253015682
1,9270000,9299999,0.251935518
1,9300000,9329999,0.238288832
1,9330000,9359999,0.204599923
1,9360000,9389999,0.244908143
1,9390000,9419999,0.242709922
1,9420000,9449999,0.270716635
1,9450000,9479999,0.248597023
1,9480000,9509999,0.21307536
1,9510000,9539999,0.239328118
1,9540000,9569999,0.223496023
1,9570000,9599999,0.252526505
1,9600000,9629999,0.205081445
1,9630000,9659999,0.237202757
1,9660000,9689999,0.245992174
1,9690000,9719999,0.219285289
1,9720000,9749999,0.221107293
1,9750000,9779999,0.219126763
1,9780000,9809999,0.241140608
1,9810000,9839999,0.197876608
1,9840000,9869999,0.218098521
1,9870000,9899999,0.217053929
1,9900000,9929999,0.212068213
1,9930000,9959999,0.23240956
1,9960000,9989999,0.209638853
1,9990000,10019999,0.20439934
1,10020000,10049999,0.213079366
1,10050000,10079999,0.227784914
1,10080000,10109999,0.226671914
1,10110000,10139999,0.171914883
1,10140000,10169999,0.146452566
1,10170000,10199999,0.142529979
1,10200000,10229999,0.177268935
